GVKEY,LPERMCO,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,capx,cshpri,dlc,dltt,dvc,lct,oibdp,pi,ppent,prstkc,pstkl,re,sale,sstk,txditc,xrd,xsga,costat,mkvalt,prcc_f,gind,gsubind,naics,sic,spcindcd,market_share,market_value,CI
10938,4722,2010/12/31,2010,INDL,C,D,STD,USEG,U S ENERGY CORP/WY,USD,29.824,156.016,46.68,26.764,0.2,0.4,0,18.763,7.898,-2.51,121.525,0,0,9.355,27.176,0.294,5.015,0,8.973,A,164.5795,6.08,101020,10102020,211120,1311,305,5.04348882604621e-05,164.5795,0.580077542499255
6194,6291,2010/12/31,2010,INDL,C,D,STD,ISRL,ISRAMCO INC,USD,18.895,171.878,3.611,2.718,14.685,99.079,0,34.505,15.228,-4.643,131.836,0,0,-4.52,41.545,0,0,,5.123,I,229.1274,84.3,101020,10102020,211120,1311,380,7.71017601111605e-05,229.1274,0.0251646398829228
14010,6913,2010/12/31,2010,INDL,C,D,STD,TGA,TRANSGLOBE ENERGY CORP,USD,130.037,341.901,66.932,66.328,0,86.42,0,41.772,115.112,77.674,200.297,0,0,128.76,156.55,9.959,0,,14.588,A,1079.1887,15.97,101020,10102020,211120,1311,380,0.000290535095568713,1079.1887,0.400078901594171
13431,9309,2010/12/31,2010,INDL,C,D,STD,BRY,BERRY CORP,USD,142.866,2838.616,644.548,52.969,5.3,1108.965,16.181,270.651,356.945,136.492,2655.792,0,0,696.652,676.51,228.715,329.207,,55.157,A,2325.8888,43.7,101020,10102020,211120,1311,380,0.00125550876718742,2325.8888,0.305997241719819
23002,9465,2010/12/31,2010,INDL,C,D,STD,CRK.5,COMSTOCK RESOURCES INC -OLD,USD,135.731,1964.214,537.4,45.561,0,513.372,0,155.064,228.661,-24.432,1816.248,0,0,590.179,349.141,1.427,217.993,,39.805,I,1171.6594,24.56,101020,10102020,211111,1311,380,0.000647957290335075,1171.6594,0.340927762520404
15291,10147,2010/12/31,2010,INDL,C,D,STD,HNR,HARVEST NATURAL RESOURCES,USD,72.854,488.244,59.619,33.5,0,81.237,0,27.655,-25.674,27.801,124.98,,0,141.584,10.696,1.674,0,,33.476,A,409.2528,12.17,101020,10102020,211111,1311,380,1.98502930833788e-05,409.2528,0.989674806195116
24005,10924,2010/12/31,2010,INDL,C,D,STD,AXAS,ABRAXAS PETROLEUM CORP/NV,USD,28.638,182.909,36.448,75.923,0.152,140.94,0,37.539,19.535,1.687,117.248,0,0,-199.963,59.03,0.069,0,,8.869,A,349.276,4.57,101020,10102020,212230,1311,380,0.000109551495952866,349.276,0.233407618023003
19433,11270,2010/09/30,2010,INDL,C,D,STD,PHX,PHX MINERALS INC,USD,17.359,105.125,11.308,8.422,0,0,2.328,7.26,34.716,16.321,86.219,0.291,0,73.6,51.533,0,22.553,,7.178,A,205.1986,24.69,101020,10102020,2111,1311,380,9.56381033531937e-05,205.1986,0.117685014622165
25874,11777,2010/12/31,2010,INDL,C,D,STD,PQUEQ,PETROQUEST ENERGY INC,USD,116.938,439.517,103.926,61.415,0,150,0,57.841,113.993,48.756,315.621,0,0.001,-58.808,179.294,0,0,,21.341,I,463.5845,7.53,101020,10102020,211111,1311,380,0.00033274480629126,463.5845,0.319256585515705
26013,11857,2010/12/31,2010,INDL,C,D,STD,SM,SM ENERGY CO,USD,274.645,2744.321,668.952,62.969,0,323.673,6.297,502.053,530.52,314.896,2434.052,0,0,1026.641,937.557,6.44,443.135,,139.109,A,3730.8583,58.93,101020,10102020,2111,1311,380,0.00173997580706557,3730.8583,0.314416539214645
27199,11923,2010/12/31,2010,INDL,C,D,STD,EGY,VAALCO ENERGY INC,USD,139.357,238.4,40.012,56.466,0,0,0,26.702,98.144,77.647,96.82,0,0,146.594,134.472,0.51,0,,14.216,A,406.8097,7.16,101020,10102020,2111,1311,380,0.000249561388510482,406.8097,0.529497393007437
27786,11937,2010/12/31,2010,INDL,C,D,STD,CHK,CHESAPEAKE ENERGY CORP,USD,3266,37179,13513,631,0,12640,95,4490,4303,2884,32378,0,3065,22,9366,2562,2384,,453,A,16945.9173,25.91,101020,10102020,2111,1311,380,0.0173819974774613,16945.9173,0.50591538749532
28296,12146,2010/12/31,2010,INDL,C,D,STD,CWEI,CLAYTON WILLIAMS ENERGY INC,USD,113.821,890.917,285.655,12.148,0.885,385.918,0,133.72,188.856,57.572,767.089,0,0,95.947,327.951,0.239,78.035,,41.634,I,1020.6554,83.97,101020,10102020,211111,1311,380,0.000608631588162599,1020.6554,0.426321476435946
25745,12183,2010/12/31,2010,INDL,C,D,STD,CXPO,CRIMSON EXPLORATION INC,USD,27.562,412.687,54.746,39.397,0,172.013,0,47.37,53.558,-47.452,380.046,0.112,0,-57.507,96.542,29.968,0,,21.448,I,191.0908,4.26,101020,10102020,211111,1311,380,0.000179168567207887,191.0908,0.139257442868481
