Date,U.S. Natural Gas Total Consumption (MMcf),U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),U.S. Natural Gas Pipeline & Distribution Use (MMcf),Natural Gas Delivered to Consumers in the U.S. (MMcf),U.S. Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),U.S. Natural Gas Industrial Consumption (MMcf),U.S. Natural Gas Vehicle Fuel Consumption (MMcf),U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf),Month,exported_MMCF,percent_residential,percent_industrial,percent_exported
2005-09-15T00:00:00Z,1422495,83252,37415,1301829,118261,126731,477413,1881,577543,Sep 2005,43824,0.0908421920236836,0.366724815624786,0.0336634074060418
2005-10-15T00:00:00Z,1428227,88025,37443,1302758,202172,162077,501875,1944,434692,Oct 2005,41025,0.155187686431402,0.385240390003362,0.0314908831878215
2005-11-15T00:00:00Z,1663400,89739,43968,1529693,387025,240134,527303,1881,373351,Nov 2005,44964,0.253008283361433,0.344711651292122,0.029394133332636
2005-12-15T00:00:00Z,2326360,94239,62367,2169754,771237,413844,576502,1944,406226,Dec 2005,45272,0.355449050906232,0.265699245167885,0.0208650381563993
2006-01-15T00:00:00Z,2165268,95508,58834,2010926,713698,396993,579855,2016,318364,Jan 2006,55600,0.354910125981762,0.288352231757907,0.0276489537655786
2006-02-15T00:00:00Z,2144378,86529,58490,1999359,702280,390067,559052,1821,346138,Feb 2006,58766,0.351252576450753,0.279615616805186,0.0293924202706968
2006-03-15T00:00:00Z,2126369,96527,57677,1972165,625925,352874,584380,2016,406970,Mar 2006,69434,0.317379631014646,0.296313949390644,0.0352069933296656
2006-04-15T00:00:00Z,1681005,92558,45145,1543302,355496,225687,534140,1951,426027,Apr 2006,45181,0.230347657166258,0.34610205909148,0.0292755403673422
2006-05-15T00:00:00Z,1526297,95279,40665,1390353,203512,160316,520100,2016,504409,May 2006,62557,0.146374338027825,0.374077662291519,0.0449936095365709
2006-06-15T00:00:00Z,1550879,94355,41391,1415134,141157,134267,508098,1951,629660,Jun 2006,65708,0.0997481510584863,0.359045857141444,0.0464323519892816
2006-07-15T00:00:00Z,1758733,96237,47255,1615241,115586,121913,512194,2016,863531,Jul 2006,58874,0.0715596000844456,0.31710066794986,0.036449050017923
2006-08-15T00:00:00Z,1751683,96815,47038,1607830,108439,126396,530783,2016,840197,Aug 2006,54739,0.0674443193621216,0.330123831499599,0.0340452659796123
2006-09-15T00:00:00Z,1462070,94660,38844,1328565,124922,133020,520351,1951,548321,Sep 2006,52583,0.0940277668010222,0.391663938158841,0.0395787936608295
2006-10-15T00:00:00Z,1644231,98383,43924,1501925,240448,187618,544311,2016,527532,Oct 2006,58904,0.160093213709073,0.362408908567339,0.0392190022804068
2006-11-15T00:00:00Z,1765375,95560,47451,1622364,413409,256210,554208,1951,396586,Nov 2006,69688,0.254818893910368,0.341605213133428,0.0429546020498482
2006-12-15T00:00:00Z,2122784,99566,57501,1965718,623595,346668,579073,2016,414365,Dec 2006,71923,0.31723522906134,0.294585998602038,0.0365886663295549
2007-01-15T00:00:00Z,2475594,100343,67439,2306943,803075,431711,621914,2094,448149,Jan 2007,69221,0.348112198697584,0.269583600461737,0.0300055094555869
2007-02-15T00:00:00Z,2566993,91902,70273,2403778,899461,477253,599687,1891,425485,Feb 2007,56539,0.374186384932386,0.249476865168081,0.0235208908642978
2007-03-15T00:00:00Z,2128845,103417,57526,1967388,616531,354274,578474,2094,416015,Mar 2007,77036,0.313375399260339,0.294031477268338,0.0391564856550919
2007-04-15T00:00:00Z,1810079,98777,48595,1662412,407708,259849,539684,2026,453144,Apr 2007,50736,0.245250876437369,0.324639138793512,0.030519510205653
2007-05-15T00:00:00Z,1559080,104599,41342,1414428,215724,168349,521172,2094,507089,May 2007,62477,0.152516777100001,0.368468384392843,0.0441712126739573
2007-06-15T00:00:00Z,1555226,101193,41310,1413254,137169,134769,510823,2026,628467,Jun 2007,57309,0.0970589858581685,0.361451656956216,0.0405510969719527
2007-07-15T00:00:00Z,1659882,103426,44231,1513157,117616,122408,510518,2094,760521,Jul 2007,70660,0.0777288807440338,0.337386008193466,0.046697071090442
2007-08-15T00:00:00Z,1896137,104005,50914,1741755,112015,127081,531132,2094,969433,Aug 2007,61870,0.0643115708007154,0.30494070635652,0.0355216433999041
2007-09-15T00:00:00Z,1590484,101696,42286,1446674,116439,127320,517561,2026,683327,Sep 2007,65077,0.0804873800178893,0.3577592463817,0.0449838733536374
2007-10-15T00:00:00Z,1627791,105256,43236,1479110,174272,157691,540961,2094,604092,Oct 2007,63576,0.117822203892882,0.365734123898831,0.0429826044039997
2007-11-15T00:00:00Z,1834529,103977,49140,1681149,405477,257247,568218,2026,448180,Nov 2007,86458,0.241190400137049,0.337993836358348,0.0514279222127248
2007-12-15T00:00:00Z,2399154,107796,65072,2225994,716871,394952,614573,2094,497505,Dec 2007,101495,0.322045342440276,0.276089243726623,0.0455953609937853
2008-01-15T00:00:00Z,2733970,101995,77313,2554281,883643,477148,659829,2201,531460,Jan 2008,109302,0.345945884575738,0.258322792206496,0.0427916897162059
2008-02-15T00:00:00Z,2503421,96255,70698,2335770,818272,458833,617738,2059,438868,Feb 2008,99374,0.350322163569187,0.264468676282339,0.0425444286038437
2008-03-15T00:00:00Z,2278151,104226,63850,2109623,656262,380467,609930,2201,460763,Mar 2008,100351,0.311080226182593,0.289118008288685,0.0475682147947761
2008-04-15T00:00:00Z,1823867,100538,50623,1672724,388459,255171,557357,2130,469607,Apr 2008,74343,0.232231378278784,0.333203206267143,0.0444442717387925
2008-05-15T00:00:00Z,1576387,103871,43282,1430242,230229,179744,542602,2201,475467,May 2008,68981,0.160972059273885,0.37937775565254,0.048230299487779
2008-06-15T00:00:00Z,1604249,101738,44156,1459015,144313,133735,513401,2130,665436,Jun 2008,61702,0.098911251769173,0.351881920336666,0.0422901752209539
2008-07-15T00:00:00Z,1708641,107037,47092,1556011,118416,127749,525607,2201,782039,Jul 2008,63345,0.0761022897653037,0.33779131381462,0.0407098664469596
2008-08-15T00:00:00Z,1682924,105516,46361,1531863,111287,126688,528741,2201,762946,Aug 2008,67157,0.0726481415113493,0.345162067365032,0.0438400823050103
2008-09-15T00:00:00Z,1460924,90069,40239,1329726,118100,129153,477778,2130,602565,Sep 2008,55330,0.0888152897664632,0.359305601304329,0.0416100760607824
2008-10-15T00:00:00Z,1635827,101348,45052,1488645,218058,185477,537665,2201,545244,Oct 2008,66843,0.146480860111041,0.361177446604127,0.0449019074393156
2008-11-15T00:00:00Z,1868947,101561,51903,1714971,433370,275603,546277,2130,457591,Nov 2008,90432,0.252698150580972,0.318534249267189,0.0527309208144044
2008-12-15T00:00:00Z,2399702,105549,67386,2226478,771868,422761,553255,2201,476394,Dec 2008,106101,0.346676679491107,0.248488868967041,0.0476541874655847
2009-01-15T00:00:00Z,2729715,110186,81144,2538368,947740,517891,582995,2315,487426,Jan 2009,112989,0.373365879179063,0.229673160077656,0.0445124583984671
2009-02-15T00:00:00Z,2332539,100434,69119,2162215,756341,426622,523688,2091,453472,Feb 2009,103196,0.349799164282923,0.242199781242846,0.0477269836718365
2009-03-15T00:00:00Z,2170709,110456,63814,1996245,600328,358253,535671,2315,499678,Mar 2009,103699,0.300728617980258,0.268339307048985,0.0519470305498574
2009-04-15T00:00:00Z,1741293,105047,50684,1585512,390344,249120,492412,2241,451395,Apr 2009,80016,0.246194289289517,0.310569708712391,0.050466978490229
2009-05-15T00:00:00Z,1504000,108587,43256,1353150,201447,166233,467679,2315,515476,May 2009,77072,0.148872630528766,0.345622436536969,0.0569574696079518
2009-06-15T00:00:00Z,1527833,105563,44075,1378772,141121,133503,459110,2241,642797,Jun 2009,66259,0.102352673248369,0.332984713933848,0.0480565314642305
2009-07-15T00:00:00Z,1657997,107672,48056,1503321,118624,128095,476270,2315,778017,Jul 2009,76273,0.0789079644334111,0.316811911760695,0.0507363364178376
2009-08-15T00:00:00Z,1736462,108525,50455,1578354,111479,128831,495412,2315,840317,Aug 2009,78755,0.0706299093866142,0.313878889019827,0.0498969179284242
2009-09-15T00:00:00Z,1574975,102145,45621,1427135,119681,131405,483796,2241,690011,Sep 2009,83786,0.0838610222578803,0.338998062551896,0.0587092321329096
2009-10-15T00:00:00Z,1666520,106913,48298,1510867,251028,198631,521880,2315,537013,Oct 2009,78092,0.166148310870513,0.345417564881621,0.0516868791230466
2009-11-15T00:00:00Z,1776171,103532,51782,1619852,376488,251343,532696,2241,457085,Nov 2009,96892,0.232421233544793,0.328854734877013,0.059815341154624
2009-12-15T00:00:00Z,2491864,106179,73871,2310875,764286,428665,595763,2315,519846,Dec 2009,115328,0.330734462054417,0.257808405906853,0.049906637096338
2010-01-15T00:00:00Z,2809788,105622,79950,2624217,932605,499107,644259,2434,545811,Jan 2010,93570,0.355384101238579,0.245505230703101,0.0356563500655624
2010-02-15T00:00:00Z,2480950,97743,70460,2312746,794779,440859,595295,2199,479615,Feb 2010,87820,0.343651659109993,0.257397483337989,0.037972176797625
2010-03-15T00:00:00Z,2142925,108557,60147,1974222,579243,337183,598498,2434,456864,Mar 2010,99574,0.293403173503284,0.303156382615532,0.0504370835701355
2010-04-15T00:00:00Z,1691813,104763,46922,1540128,313171,215375,537745,2356,471481,Apr 2010,75938,0.20334089114671,0.349156044172952,0.0493062914251283
2010-05-15T00:00:00Z,1617274,107550,44635,1465089,197513,161154,544323,2434,559665,May 2010,85725,0.134812970406576,0.371528965134541,0.058511803719774
2010-06-15T00:00:00Z,1649515,102824,45728,1500962,134038,129712,529191,2356,705665,Jun 2010,90040,0.0893013947055288,0.352567886462149,0.0599881942380953
2010-07-15T00:00:00Z,1825828,106759,50825,1668244,111307,120183,537138,2434,897182,Jul 2010,85851,0.066721055193365,0.32197807994514,0.0514618964611891
2010-08-15T00:00:00Z,1878926,108019,52357,1718550,107074,126673,539366,2434,943002,Aug 2010,84164,0.0623048500189113,0.313849466119694,0.0489738442291467
2010-09-15T00:00:00Z,1637491,107186,45244,1485061,117299,132944,535739,2356,696723,Sep 2010,79475,0.0789859810472432,0.360752184590397,0.0535163202050286
2010-10-15T00:00:00Z,1664938,112815,45889,1506234,201580,185337,546520,2434,570363,Oct 2010,95974,0.133830467244797,0.362838708992096,0.0637178552602053
2010-11-15T00:00:00Z,1973294,109026,55118,1809151,446801,286696,576758,2356,496539,Nov 2010,123537,0.246967223852514,0.318800365475298,0.0682845157756318
2010-12-15T00:00:00Z,2714054,114763,76849,2522442,847001,467371,641361,2434,564274,Dec 2010,135121,0.335786115201063,0.254261941404401,0.0535675349522407
2011-01-15T00:00:00Z,2888640,106975,82626,2699039,969775,527999,658927,2546,539792,Jan 2011,135721,0.359303811467711,0.244133930632347,0.0502849347489977
2011-02-15T00:00:00Z,2452403,96973,69965,2285465,767994,431732,599754,2299,483686,Feb 2011,125014,0.336034023710711,0.262420995289799,0.0546995906741079
2011-03-15T00:00:00Z,2230493,111445,62944,2056105,594929,360938,615767,2546,481926,Mar 2011,144360,0.289347577093582,0.299482273522023,0.0702104221331109
2011-04-15T00:00:00Z,1825023,108766,50979,1665278,340552,232006,568804,2464,521453,Apr 2011,126374,0.204501590725392,0.341566993619083,0.0758876295729602
2011-05-15T00:00:00Z,1667396,111897,46204,1509295,205399,166250,563102,2546,571998,May 2011,131797,0.136089366227278,0.373089422544963,0.0873235517244807
2011-06-15T00:00:00Z,1657334,107452,46037,1503845,132672,133856,535440,2464,699414,Jun 2011,119470,0.088221857970735,0.356047332005626,0.0794430277056479
2011-07-15T00:00:00Z,1890515,109606,52900,1728010,114187,130147,542556,2546,938575,Jul 2011,113280,0.0660800574070752,0.313977349668115,0.065555176185323
2011-08-15T00:00:00Z,1891783,110980,52896,1727907,112280,137962,553670,2546,921449,Aug 2011,111404,0.064980349058138,0.320428124893296,0.0644733773287567
2011-09-15T00:00:00Z,1655634,109465,45927,1500242,122751,141634,549196,2464,684198,Sep 2011,126744,0.0818207995776681,0.366071607114052,0.0844823701776113
2011-10-15T00:00:00Z,1744454,116320,48362,1579772,225506,206142,570646,2546,574932,Oct 2011,109513,0.142745915233337,0.361220479917355,0.0693220287484523
2011-11-15T00:00:00Z,2031872,114768,56945,1860159,434502,286449,594199,2464,542546,Nov 2011,127599,0.233583258205347,0.319434521457574,0.0685957490730631
2011-12-15T00:00:00Z,2541878,117941,72000,2351937,693232,400205,642060,2546,613894,Dec 2011,134374,0.294749391671631,0.27299200616343,0.0571333330782245
2012-01-15T00:00:00Z,2756180,118883,79832,2557465,794368,445861,665876,2538,648823,Jan 2012,130464,0.310607574297205,0.260365635502343,0.0510130148408678
2012-02-15T00:00:00Z,2500654,109038,72395,2319221,662056,387045,623215,2375,644530,Feb 2012,130175,0.285464817712499,0.268717383983674,0.0561287604760392
2012-03-15T00:00:00Z,2127761,117005,60866,1949890,403150,261564,608538,2538,674099,Mar 2012,141164,0.206755252860418,0.312088374215981,0.0723958787418778
2012-04-15T00:00:00Z,1953071,112909,55702,1784460,279211,208940,579515,2457,714338,Apr 2012,123150,0.156468063167569,0.324756508971902,0.0690124743619919
2012-05-15T00:00:00Z,1873835,117153,53175,1703507,163083,149137,576282,2538,812467,May 2012,132979,0.0957336835128943,0.338291536224976,0.078061904060271
2012-06-15T00:00:00Z,1868356,112654,53145,1702557,123336,131071,565812,2457,879881,Jun 2012,125140,0.0724416275049822,0.332330723729073,0.0735012102384825
2012-07-15T00:00:00Z,2069773,119418,59038,1891318,107517,124496,575079,2538,1081688,Jul 2012,118367,0.056847658616901,0.304062563778275,0.0625843988160637
2012-08-15T00:00:00Z,2008815,118830,57210,1832775,105604,133475,587219,2538,1003938,Aug 2012,139248,0.0576197296449373,0.320398848740298,0.0759765928714654
2012-09-15T00:00:00Z,1807208,115658,51204,1640347,118611,141657,575034,2457,802588,Sep 2012,137374,0.0723084810713831,0.35055631521867,0.0837469145247926
2012-10-15T00:00:00Z,1901084,119771,53921,1727393,240105,212768,602786,2538,669195,Oct 2012,139930,0.138998479211158,0.348957069989284,0.081006464655119
2012-11-15T00:00:00Z,2167841,116074,62107,1989660,482134,308076,617247,2457,579745,Nov 2012,142299,0.242319793331524,0.310227375531498,0.0715192545460028
2012-12-15T00:00:00Z,2503907,118880,72195,2312832,670344,390835,649613,2538,599502,Dec 2012,158538,0.289836875311307,0.280873405418119,0.0685471318279927
2013-01-15T00:00:00Z,2878785,123951,93018,2661816,872291,478984,676303,2552,631685,Jan 2013,154442,0.327705220796629,0.254075788859936,0.0580212907278339
2013-02-15T00:00:00Z,2567155,112282,82890,2371983,750082,429014,622193,2305,568388,Feb 2013,133003,0.316225706508015,0.262309215538223,0.0560724929310202
2013-03-15T00:00:00Z,2521108,123977,80940,2316191,662262,393457,654009,2552,603910,Mar 2013,148544,0.285927196850346,0.282364019202216,0.0641328802331069
2013-04-15T00:00:00Z,1967458,121527,62329,1783603,366420,249295,600591,2469,564827,Apr 2013,125771,0.205438093566786,0.336729081527672,0.0705151314502162
2013-05-15T00:00:00Z,1752469,125149,54947,1572373,193222,168850,592942,2552,614808,May 2013,142071,0.122885600299674,0.377100090118566,0.0903545151182321
2013-06-15T00:00:00Z,1742917,120934,54767,1567216,127659,136047,563890,2469,737150,Jun 2013,133808,0.0814559065246909,0.359803626302947,0.0853794244060806
2013-07-15T00:00:00Z,1926330,127432,60741,1738157,111509,135057,577915,2552,911124,Jul 2013,128612,0.0641535833644487,0.332487226412804,0.073993315908747
2013-08-15T00:00:00Z,1927379,127158,60785,1739436,107731,137019,591603,2552,900530,Aug 2013,130324,0.0619344431183441,0.340111967327341,0.0749231360050039
2013-09-15T00:00:00Z,1766973,122736,55518,1588718,117803,141926,575038,2469,751482,Sep 2013,122421,0.0741497232359676,0.361950956683313,0.0770564694300688
2013-10-15T00:00:00Z,1866762,127212,58737,1680814,222668,206671,611884,2552,637038,Oct 2013,122406,0.13247628827461,0.364040280483147,0.0728254286316035
2013-11-15T00:00:00Z,2316909,124369,74032,2118508,517529,345132,652358,2469,601019,Nov 2013,113682,0.244289377240964,0.307932752673108,0.0536613503465647
2013-12-15T00:00:00Z,2920826,126358,94357,2700111,848195,473848,706724,2552,668792,Dec 2013,117329,0.314133381923928,0.261738869253894,0.0434533987676803
2014-01-15T00:00:00Z,3204129,120915,86069,2997145,1037197,571744,722327,2997,662881,Jan 2014,134807,0.346061668688035,0.241005023113663,0.0449784711784048
2014-02-15T00:00:00Z,2741240,111800,73402,2556038,852927,490105,659190,2707,551109,Feb 2014,138550,0.333691048411643,0.257895226909772,0.0542049844329388
2014-03-15T00:00:00Z,2557890,124673,67924,2365293,699921,420934,680634,2997,560808,Mar 2014,149508,0.295913022192177,0.287758852708734,0.0632090823420185
2014-04-15T00:00:00Z,1961678,123603,51310,1786764,356142,251038,627785,2900,548899,Apr 2014,121928,0.199322350349571,0.351353060616847,0.0682395660534911
2014-05-15T00:00:00Z,1810222,127034,46987,1636202,203456,176753,606067,2997,646929,May 2014,114105,0.12434650489365,0.37041086614,0.069737721870527
2014-06-15T00:00:00Z,1745351,123570,45272,1576508,125596,141451,585811,2900,720750,Jun 2014,119864,0.0796672138676112,0.371587711575203,0.0760313300027656
2014-07-15T00:00:00Z,1881017,130405,48869,1701744,112785,137609,605051,2997,843303,Jul 2014,127301,0.0662761261388317,0.3555476029297,0.0748061988172134
2014-08-15T00:00:00Z,1933061,131115,50302,1751644,105187,137122,608533,2997,897806,Aug 2014,115376,0.060050444039999,0.347406779003039,0.0658672652662299
2014-09-15T00:00:00Z,1809291,126840,46966,1635485,121736,148913,590989,2900,770947,Sep 2014,119891,0.0744341892466149,0.361353971451893,0.0733060835165104
2014-10-15T00:00:00Z,1912810,132368,49702,1730740,212079,202359,609917,2997,703390,Oct 2014,115069,0.122536602840404,0.352402440574552,0.0664854339762183
2014-11-15T00:00:00Z,2357521,127279,62258,2167984,543538,361530,659624,2900,600392,Nov 2014,120861,0.250711259861696,0.304256857984192,0.0557481051520676
2014-12-15T00:00:00Z,2679165,132541,71090,2475535,716907,426751,690112,2997,638769,Dec 2014,136982,0.289596794228318,0.278772871318725,0.0553343014742268
2015-01-15T00:00:00Z,3114982,132608,78800,2903574,937954,532631,718319,3345,711324,Jan 2015,144522,0.323034301863841,0.247391318423433,0.0497738304586003
2015-02-15T00:00:00Z,2925172,120370,74108,2730693,902364,517341,659623,3022,648343,Feb 2015,144955,0.330452379670655,0.241558827740797,0.0530835945307656
2015-03-15T00:00:00Z,2591329,133856,64931,2392542,633081,385772,661612,3345,708731,Mar 2015,163967,0.264606013185975,0.276530986707861,0.0685325482269486
2015-04-15T00:00:00Z,2007922,131408,49581,1826933,319285,232201,607933,3238,664276,Apr 2015,130328,0.17476557706276,0.332761518895329,0.0713370441061604
2015-05-15T00:00:00Z,1858149,133834,45560,1678755,177570,160511,602843,3345,734486,May 2015,134274,0.105774815264884,0.359101238715596,0.0799842740602411
2015-06-15T00:00:00Z,1899906,129215,46785,1723906,124066,135446,574682,3238,886475,Jun 2015,138179,0.0719679611301312,0.333360403641498,0.0801546023971145
2015-07-15T00:00:00Z,2067714,133945,51094,1882675,108160,133728,591900,3345,1045542,Jul 2015,143820,0.0574501706348679,0.314393084308232,0.076391304925173
2015-08-15T00:00:00Z,2052728,134098,50694,1867936,102855,135279,599867,3345,1026590,Aug 2015,144885,0.0550634497113392,0.321138946944649,0.0775642206156956
2015-09-15T00:00:00Z,1901337,130591,46786,1723960,108491,138126,579061,3238,895044,Sep 2015,162573,0.0629312745075292,0.335890043852526,0.0943020719738277
2015-10-15T00:00:00Z,1987310,133961,48969,1804380,201540,194961,612994,3345,791541,Oct 2015,158517,0.111694875802215,0.339725556700917,0.0878512286768862
2015-11-15T00:00:00Z,2249140,129096,56016,2064029,406610,283231,638537,3238,732413,Nov 2015,155739,0.196998201091167,0.309364354861293,0.0754538817041815
2015-12-15T00:00:00Z,2588168,133407,64859,2389902,590911,352506,674532,3345,768606,Dec 2015,161754,0.247253234651463,0.282242535467982,0.067682273164339
2016-01-15T00:00:00Z,3091695,132516,78465,2880714,878936,503093,721171,3560,773954,Jan 2016,168521,0.305110469140637,0.250344532640172,0.0584997330522919
2016-02-15T00:00:00Z,2652260,125722,66993,2459545,690077,413548,662790,3330,689800,Feb 2016,162757,0.280570999920717,0.269476671498184,0.0661736215438221
2016-03-15T00:00:00Z,2356298,132875,58956,2164467,455001,298447,662694,3560,744765,Mar 2016,194915,0.210213877134648,0.306169602031355,0.0900521929879273
2016-04-15T00:00:00Z,2083848,128499,51848,1903501,328059,233059,620045,3445,718893,Apr 2016,177853,0.172345063123161,0.325739256244152,0.0934346764199231
2016-05-15T00:00:00Z,1965799,131270,48644,1785885,193922,171297,612675,3560,804431,May 2016,188274,0.108585939184214,0.343065202966596,0.105423361526638
2016-06-15T00:00:00Z,2000656,125818,49713,1825125,122640,138340,590392,3445,970308,Jun 2016,183013,0.0671953975755085,0.323480309567838,0.100274227792617
2016-07-15T00:00:00Z,2186616,131076,54504,2001036,106420,134609,616480,3560,1139968,Jul 2016,188682,0.0531824514901281,0.308080414345369,0.0942921566628486
2016-08-15T00:00:00Z,2208375,130037,55109,2023229,100455,140436,627541,3560,1151236,Aug 2016,214226,0.0496508304299711,0.310168053146727,0.105883219348873
2016-09-15T00:00:00Z,1947752,125008,48332,1774412,109782,142031,603868,3445,915286,Sep 2016,201986,0.0618695094487639,0.340320060955404,0.113832638643111
2016-10-15T00:00:00Z,1925203,128669,47637,1748897,187385,191437,622720,3560,743796,Oct 2016,176466,0.107144674614914,0.356064422318753,0.100901310940553
2016-11-15T00:00:00Z,2159445,125558,53930,1979957,379746,280600,654119,3445,662046,Nov 2016,227919,0.191795074337473,0.330370306021797,0.115113105991696
2016-12-15T00:00:00Z,2866273,128282,72600,2665391,794164,462687,734194,3560,670787,Dec 2016,250836,0.2979540337609,0.275454520556271,0.0941085191628545
2017-01-15T00:00:00Z,2913823,126894,78712,2708217,830917,479371,734212,4094,659623,Jan 2017,269960,0.30681330188829,0.271105306554091,0.0996818201791068
2017-02-15T00:00:00Z,2340217,116217,62816,2161185,579458,359436,649811,3698,568781,Feb 2017,253227,0.268120498707885,0.300673473117757,0.117170441216277
2017-03-15T00:00:00Z,2523331,131579,67554,2324198,579941,371668,696319,4094,672176,Mar 2017,273345,0.249523061288238,0.299595387312096,0.117608310479572
2017-04-15T00:00:00Z,1932042,127491,50973,1753578,278972,211971,631624,3962,627049,Apr 2017,242424,0.159087306067937,0.36019156262225,0.138245347512343
2017-05-15T00:00:00Z,1892010,131738,49723,1710548,199486,178502,628407,4094,700059,May 2017,248867,0.116621106218592,0.367371742856675,0.145489632562196
2017-06-15T00:00:00Z,1910441,128725,50330,1731387,124057,138039,614294,3962,851035,Jun 2017,253322,0.0716518028609433,0.354798782710047,0.14631159873558
2017-07-15T00:00:00Z,2141595,134387,56698,1950510,107443,133651,623497,4094,1081826,Jul 2017,248801,0.055084567625903,0.319658448303264,0.127556895376081
2017-08-15T00:00:00Z,2093773,134312,55349,1904112,103835,137228,636935,4094,1022019,Aug 2017,247302,0.0545319813120237,0.334505008108767,0.129877864327308
2017-09-15T00:00:00Z,1920466,132252,50513,1737701,114508,144828,615144,3962,859260,Sep 2017,248916,0.0658962617849676,0.353998760431167,0.14324443618321
2017-10-15T00:00:00Z,2031510,139089,53456,1838965,205087,200683,656558,4094,772543,Oct 2017,279775,0.111523057806973,0.357025827027703,0.152137207614066
2017-11-15T00:00:00Z,2357258,138792,62661,2155805,467729,322432,695526,3962,666156,Nov 2017,287727,0.21696257314553,0.322629365828542,0.133466153014767
2017-12-15T00:00:00Z,3086015,144427,83080,2858509,821890,486806,760689,4094,785029,Dec 2017,300138,0.287524020389651,0.266113907635064,0.104998095160799
2018-01-15T00:00:00Z,3340935,134390,98811,3107734,981276,553970,782206,4282,786001,Jan 2018,300234,0.315752892622084,0.251696573773689,0.0966086544086463
2018-02-15T00:00:00Z,2710719,123921,79713,2507085,689887,424203,699106,3867,690022,Feb 2018,275652,0.275174954179854,0.278852133054922,0.109949203955989
2018-03-15T00:00:00Z,2796708,138799,81905,2576005,659389,417944,737863,4282,756528,Mar 2018,291468,0.255973493840268,0.286436944027671,0.113147295909752
2018-04-15T00:00:00Z,2350481,134093,68299,2148089,440848,301841,697338,4144,703919,Apr 2018,278941,0.205227995674295,0.324631800637683,0.129855420329418
2018-05-15T00:00:00Z,2055019,140156,59007,1855856,169019,163748,670722,4282,848085,May 2018,272116,0.0910733375865369,0.361408428240122,0.146625600262089
2018-06-15T00:00:00Z,2063144,136321,59376,1867447,119244,142401,649104,4144,952554,Jun 2018,261995,0.0638540210244253,0.347588981106291,0.140295815624219
2018-07-15T00:00:00Z,2350719,143671,68011,2139037,105918,137574,667748,4282,1223514,Jul 2018,305997,0.0495166750271267,0.312172253214881,0.143053626468359
2018-08-15T00:00:00Z,2313836,146569,66785,2100482,99781,142976,667914,4282,1185530,Aug 2018,311449,0.0475038586381602,0.317981301434623,0.148275014972754
2018-09-15T00:00:00Z,2156063,144167,61997,1949898,112317,146602,657035,4144,1029799,Sep 2018,301742,0.0576014745386682,0.336958651170471,0.154747581668374
2018-10-15T00:00:00Z,2285854,150862,65791,2069201,255318,237370,684417,4282,887814,Oct 2018,306653,0.12338965620063,0.330763903555044,0.148198749179031
2018-11-15T00:00:00Z,2715942,148545,79115,2488282,598977,386256,735954,4144,762951,Nov 2018,337789,0.240719098558765,0.29576792341061,0.135751896288282
2018-12-15T00:00:00Z,2999510,152744,87724,2759042,765580,459067,767892,4282,762221,Dec 2018,363806,0.277480371810215,0.278318343830938,0.13185953675225
2019-01-15T00:00:00Z,3424302,148790,113780,3161732,953787,554325,800585,4515,848519,Jan 2019,364787,0.301665985605358,0.253210898330409,0.115375686490822
2019-02-15T00:00:00Z,3019120,135307,100173,2783640,809132,472246,718873,4078,779310,Feb 2019,329954,0.290674081418574,0.258249270739032,0.118533287350376
2019-03-15T00:00:00Z,2927812,150489,96474,2680848,688517,424232,750058,4515,813526,Mar 2019,373539,0.256828063359057,0.279783859435522,0.139336135431774
2019-04-15T00:00:00Z,2212386,146340,71767,1994279,328581,246547,675101,4370,739680,Apr 2019,338213,0.164761801132138,0.338518833122146,0.169591616819913
2019-05-15T00:00:00Z,2133985,152372,68834,1912779,212408,184887,674882,4515,836087,May 2019,368568,0.11104680676649,0.352828005744521,0.192687184457797
2019-06-15T00:00:00Z,2119341,147863,68482,1902995,129214,144653,634196,4370,990562,Jun 2019,360226,0.0679003360492277,0.333262042201898,0.189294244073158
2019-07-15T00:00:00Z,2393904,153635,77819,2162450,111761,141950,649556,4515,1254667,Jul 2019,393400,0.0516825822562371,0.300379661957502,0.181923281463155
2019-08-15T00:00:00Z,2433924,157370,79079,2197474,101894,140788,672373,4515,1277904,Aug 2019,384983,0.0463686942371104,0.305975406307424,0.175193426634399
2019-09-15T00:00:00Z,2206252,152877,71327,1982049,109841,143158,643905,4370,1080775,Sep 2019,394511,0.055417903391894,0.324868355928638,0.199042001484323
2019-10-15T00:00:00Z,2306544,159359,74586,2072599,231696,216141,683580,4515,936668,Oct 2019,425775,0.111790076131466,0.329817779512583,0.20543047642115
2019-11-15T00:00:00Z,2783754,156747,91253,2535754,589075,388823,734619,4370,818868,Nov 2019,441944,0.232307629210089,0.289704364066861,0.174285045000422
2019-12-15T00:00:00Z,3170717,161790,104519,2904407,752613,456817,778934,4515,911529,Dec 2019,481757,0.259127939025075,0.268190374145221,0.165871036669448
2020-01-15T00:00:00Z,3299777,159233,110329,3030214,824836,490676,779219,4161,931322,Jan 2020,510444,0.272203877349917,0.25714982506186,0.168451469104162
