date,region,new_BBL,retired_BBL,new_MCF,retired_MCF
2011-12-01T00:00:00Z,Eagle Ford,64517.945973,31314.316,269488.57195,144526.29
2012-01-01T00:00:00Z,Eagle Ford,68182.725324,34260.703,272315.15594,151654.79
2012-02-01T00:00:00Z,Eagle Ford,69702.206211,37060.411,268817.06091,158139.07
2012-03-01T00:00:00Z,Eagle Ford,76119.93136,39748.345,284816.32105,164342.17
2012-04-01T00:00:00Z,Eagle Ford,79338.470488,42809.301,289048.99502,171999.63
2012-05-01T00:00:00Z,Eagle Ford,84569.388831,45600.409,301324.00923,178007.89
2012-06-01T00:00:00Z,Eagle Ford,85571.328606,48673.708,301343.99714,185107.63
2012-07-01T00:00:00Z,Eagle Ford,87208.90272,51704.897,305457.5259,192877.36
2012-08-01T00:00:00Z,Eagle Ford,89616.596916,55141.719,312693.3818,200187.82
2012-09-01T00:00:00Z,Eagle Ford,90629.998812,58680.937,314195.18674,208454.19
2012-10-01T00:00:00Z,Eagle Ford,92120.77914,62274.006,319663.8198,216969.18
2012-11-01T00:00:00Z,Eagle Ford,95691.176777,66026.97,328285.03043,225971.43
2012-12-01T00:00:00Z,Eagle Ford,100610.456958,69646.604,342400.52601,234775.06
2013-01-01T00:00:00Z,Eagle Ford,104664.25449,73350.411,350751.50052,244039.01
2013-02-01T00:00:00Z,Eagle Ford,110307.796026,76943.442,362057.1534,252881.73
2013-03-01T00:00:00Z,Eagle Ford,112114.543237,80059.422,360949.41046,260102.72
2013-04-01T00:00:00Z,Eagle Ford,119785.969105,83513.555,378469.508,268857.22
2013-05-01T00:00:00Z,Eagle Ford,124399.48848,86569.644,387743.58438,273314.47
2013-06-01T00:00:00Z,Eagle Ford,124946.215128,89999.488,385724.96928,281239.78
2013-07-01T00:00:00Z,Eagle Ford,130628.010629,92967.74,397478.0761,284249.71
2013-08-01T00:00:00Z,Eagle Ford,136123.1313,96605.225,403628.1938,291380.3
2013-09-01T00:00:00Z,Eagle Ford,138421.936728,99716.231,403621.89705,295253.04
2013-10-01T00:00:00Z,Eagle Ford,136151.584668,103361.03,389176.18993,302015.32
2013-11-01T00:00:00Z,Eagle Ford,139537.9776,106698.95,392766.97088,307975.59
2013-12-01T00:00:00Z,Eagle Ford,144864.414082,109181.51,404459.15164,312539.48
2014-01-01T00:00:00Z,Eagle Ford,146509.5944,112102.78,408065.918,318470.14
2014-02-01T00:00:00Z,Eagle Ford,148475.402448,114942.01,412996.61922,324284.56
2014-03-01T00:00:00Z,Eagle Ford,152977.450761,117508.76,423264.48561,329305.37
2014-04-01T00:00:00Z,Eagle Ford,155687.665626,120415.97,427273.35948,334534.09
2014-05-01T00:00:00Z,Eagle Ford,157379.12632,123262.16,430225.9598,339120.2
2014-06-01T00:00:00Z,Eagle Ford,160103.775186,125663.02,439796.3013,341090.73
2014-07-01T00:00:00Z,Eagle Ford,162208.248723,128934.17,450927.99045,347262.94
2014-08-01T00:00:00Z,Eagle Ford,161357.66912,131504.15,455392.38144,349573.77
2014-09-01T00:00:00Z,Eagle Ford,164787.668578,133904.59,469015.40105,354518.2
2014-10-01T00:00:00Z,Eagle Ford,174860.414712,136664.94,498956.69428,359174.42
2014-11-01T00:00:00Z,Eagle Ford,175889.917896,138686.46,502932.33936,364896.64
2014-12-01T00:00:00Z,Eagle Ford,174901.09952,140054.01,505263.4752,370649.25
2015-01-01T00:00:00Z,Eagle Ford,165212.053055,139742.44,485079.9641,374664.58
2015-02-01T00:00:00Z,Eagle Ford,139342.308096,140301.65,413134.14912,380247.11
2015-03-01T00:00:00Z,Eagle Ford,117475.380938,140468.41,350269.29063,384445.33
2015-04-01T00:00:00Z,Eagle Ford,106340.861516,140372.19,322086.40542,388039
2015-05-01T00:00:00Z,Eagle Ford,97587.461103,139993.44,303916.45746,390220.25
2015-06-01T00:00:00Z,Eagle Ford,94238.1244,139072.58,302769.404,390687.03
2015-07-01T00:00:00Z,Eagle Ford,96764.822,137907.56,317704.0812,390240.97
2015-08-01T00:00:00Z,Eagle Ford,99300.402252,136105.4,331154.69112,388717.7
2015-09-01T00:00:00Z,Eagle Ford,94616.373951,134815.25,317214.77832,388214.39
2015-10-01T00:00:00Z,Eagle Ford,88494.52878,130926.33,298045.8621,383281.4
2015-11-01T00:00:00Z,Eagle Ford,84251.54787,127471.91,286807.55493,379363.18
2015-12-01T00:00:00Z,Eagle Ford,91607.54349,123948.93,319994.78526,375592.73
